Nombre,Suministrador,Precio,Descripción,Link,Last Modified,tipo
Queso,Aldanondo,€15.00,Ahumado y cremoso,http://aldanondo.es,19/1/2023 10:21am,lacteos
Guindillas,Zubelzu,€5.00,El picante justo,https://zubelzupiparrak.com,19/1/2023 10:21am,verduras
Gulas,Angulas de aginaga,€45.00,La gula del norte,https://www.angulas-aguinaga.es,19/1/2023 10:24am,"precocinado,pescado"
Pimientos ,Pimientos de gernika,€6.00,Pimientos verdes txikis,,19/1/2023 10:56am,verduras
anchoas,latas de anchoas,€15.00,Anchoas en lata,,19/1/2023 10:56am,pescado
peras,campo,€1.95,bolsa peras,,8/11/2023 10:12am,"verduras,pescado"
Almendras,frutos secos,€1.00,Bolsa de almendras,www.sdaasdsa.com,10/9/2024 1:39pm,carne
judias,,,,,19/1/2023 12:18pm,
patatas,,,,,19/1/2023 12:18pm,
aguacates,Rica fruta,,"rica fruta",,19/1/2023 12:41pm,
merluza,arrantzale,€56.00,,,19/1/2023 12:44pm,
sapo,asdas,€5.00,,,20/1/2023 1:42pm,
acelgas,Ricas ,€5.00,,,27/7/2023 5:41pm,
Gazta,Aldanondo,€15.00,Ahumado y cremoso,http://aldanondo.es,27/7/2023 6:59pm,lacteos
Piparrak,Zubelzu,€5.00,El picante justo,https://zubelzupiparrak.com,27/7/2023 6:59pm,verduras
Gazta,Aldanondo,€15.00,Ahumado y cremoso,http://aldanondo.es,27/7/2023 7:06pm,lacteos
Piparrak,Zubelzu,€5.00,El picante justo,https://zubelzupiparrak.com,27/7/2023 7:06pm,verduras
Melocoton,Txiki,€44.00,fruta veraniega,,27/7/2023 7:26pm,
Paraguayo,Txiki,€6.00,fruta veraniega,,27/7/2023 7:27pm,
Mango,Txiki,€44.00,dasdas,,17/9/2025 7:27pm,
MAngo,Txiki,€6.00,dasdas,gfgfgdf,28/7/2023 4:54pm,
Melocoton,Txiku,€90.00,fruta veraniega,gfgfgdf,5/9/2023 4:12pm,
pan tomaca,la masia,€6.00,Multi comida,,8/11/2023 10:18am,
hamburgesa,va bene,€13.00,,,6/3/2025 12:06pm,
arepa,mexicano,€45.00,mepnilla de maiz rellena de pollo mecHADO,,17/9/2025 7:15pm,
